pt range	chiso range	TrueNumber	fitTrue_number	fitTrue_error	closureTrue_test
#######################################################################################
20  <pt<25 	3<chiso range<8 	67.8017	57.2177	12.8668	0.822582
20  <pt<25 	3<chiso range<9 	67.8017	57.3711	12.8556	0.811366
20  <pt<25 	3<chiso range<10 	67.8017	58.008	12.8048	0.764846
20  <pt<25 	3<chiso range<11 	67.8017	59.1346	12.7267	0.681017
20  <pt<25 	3<chiso range<12 	67.8017	59.5425	12.7006	0.6503
20  <pt<25 	3<chiso range<13 	67.8017	59.9422	12.6757	0.620045
20  <pt<25 	4<chiso range<9 	67.8017	56.5019	12.9191	0.874658
20  <pt<25 	4<chiso range<10 	67.8017	57.3812	12.8493	0.810978
20  <pt<25 	4<chiso range<11 	67.8017	58.7623	12.753	0.708806
20  <pt<25 	4<chiso range<12 	67.8017	59.2648	12.7204	0.671119
20  <pt<25 	4<chiso range<13 	67.8017	59.7396	12.6905	0.635286
20  <pt<25 	5<chiso range<10 	67.8017	56.071	12.9421	0.906398
20  <pt<25 	5<chiso range<11 	67.8017	57.9302	12.8112	0.770537
20  <pt<25 	5<chiso range<12 	67.8017	58.6201	12.7658	0.719234
20  <pt<25 	5<chiso range<13 	67.8017	59.2332	12.7264	0.673285
20  <pt<25 	6<chiso range<11 	67.8017	58.6338	12.7601	0.718482
20  <pt<25 	6<chiso range<12 	67.8017	59.352	12.714	0.664598
20  <pt<25 	6<chiso range<13 	67.8017	59.9841	12.6741	0.616817
20  <pt<25 	7<chiso range<12 	67.8017	62.0746	12.5269	0.457184
20  <pt<25 	7<chiso range<13 	67.8017	62.4477	12.5055	0.428132
20  <pt<25 	8<chiso range<13 	67.8017	63.2096	12.4536	0.368737
#######################################################################################
25  <pt<30 	3<chiso range<8 	41.2175	38.1083	9.34302	0.332783
25  <pt<30 	3<chiso range<9 	41.2175	37.6421	9.3961	0.38052
25  <pt<30 	3<chiso range<10 	41.2175	37.7838	9.38376	0.365919
25  <pt<30 	3<chiso range<11 	41.2175	38.0983	9.34466	0.333795
25  <pt<30 	3<chiso range<12 	41.2175	38.4456	9.3104	0.297721
25  <pt<30 	3<chiso range<13 	41.2175	39.0232	9.25475	0.2371
25  <pt<30 	4<chiso range<9 	41.2175	37.411	9.42516	0.403866
25  <pt<30 	4<chiso range<10 	41.2175	37.6103	9.40645	0.383482
25  <pt<30 	4<chiso range<11 	41.2175	37.9998	9.35819	0.343838
25  <pt<30 	4<chiso range<12 	41.2175	38.4119	9.31665	0.301138
25  <pt<30 	4<chiso range<13 	41.2175	39.0734	9.25182	0.231749
25  <pt<30 	5<chiso range<10 	41.2175	38.4346	9.31976	0.298602
25  <pt<30 	5<chiso range<11 	41.2175	38.7574	9.27945	0.265113
25  <pt<30 	5<chiso range<12 	41.2175	39.139	9.2431	0.22487
25  <pt<30 	5<chiso range<13 	41.2175	39.8638	9.17682	0.147513
25  <pt<30 	6<chiso range<11 	41.2175	38.5271	9.30124	0.289252
